"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"1","ABW",2000,NA,NA,NA,NA
"2","ABW",2019,NA,NA,NA,NA
"3",NA,2000,85.55713132,137.5449914,37.67115207,777
"4",NA,2019,43.59125166,60.05415038,24.5979354,NA
"5","AFG",2000,90.5,129.2,60.9,1450
"6","AFG",2019,46.4,60.1,36.1,NA
"7",NA,2000,99.16617376,169.4711147,43.95216135,1000
"8",NA,2019,62.35233279,96.49428924,31.73890801,NA
"9","AGO",2000,121.5,204.4,50.3,827
"10","AGO",2019,49.9,74.2,27.9,NA
"11","ALB",2000,24.1,27.2,12.1,23
"12","ALB",2019,8.6,9.7,7.5,NA
"13","AND",2000,7.3,8.2,3.8,NA
"14","AND",2019,2.5,2.7,1.4,NA
"15",NA,2000,44.09256936,60.55947269,25.43366271,250
"16",NA,2019,26.33280639,34.88575942,16.65764201,NA
"17","ARE",2000,9.6,11.1,5.9,6
"18","ARE",2019,5.8,6.8,3.7,NA
"19","ARG",2000,17.5,19.6,11,66
"20","ARG",2019,8.1,9.1,5.3,NA
"21","ARM",2000,27,30.6,16.1,43
"22","ARM",2019,10.2,11.5,6,NA
"23","ASM",2000,NA,NA,NA,NA
"24","ASM",2019,NA,NA,NA,NA
"25","ATG",2000,12.6,15.5,9.7,44
"26","ATG",2019,5.6,6.6,3.6,NA
"27","AUS",2000,5.1,6.2,3.5,7
"28","AUS",2019,3.2,3.7,2.4,NA
"29","AUT",2000,4.6,5.5,3.1,6
"30","AUT",2019,2.9,3.6,2.3,NA
"31","AZE",2000,60.9,74.4,34.3,47
"32","AZE",2019,18.2,20.4,10.4,NA
"33","BDI",2000,94.7,154.5,36.6,1010
"34","BDI",2019,39.9,56.6,21.3,NA
"35","BEL",2000,4.8,5.8,3,8
"36","BEL",2019,3.4,4.2,2.4,NA
"37","BEN",2000,85,136.8,39,520
"38","BEN",2019,57.9,88.4,30.2,NA
"39","BFA",2000,90.9,178.9,40.7,516
"40","BFA",2019,54.1,87.8,26.2,NA
"41","BGD",2000,63.1,86,44,434
"42","BGD",2019,25.5,30.7,18.5,NA
"43","BGR",2000,14.4,17.5,7.9,19
"44","BGR",2019,5.5,6.6,3.2,NA
"45","BHR",2000,10.7,12.5,4.7,27
"46","BHR",2019,5.9,7,3,NA
"47","BHS",2000,13.9,16.3,8,75
"48","BHS",2019,14.5,22.4,6.9,NA
"49","BIH",2000,8.7,9.9,6.9,17
"50","BIH",2019,5.1,5.9,4.2,NA
"51","BLR",2000,9.9,12.7,6,22
"52","BLR",2019,2.4,3.1,1.1,NA
"53","BLZ",2000,20,23.6,12,89
"54","BLZ",2019,10.6,12.3,8.1,NA
"55","BMU",2000,NA,NA,NA,NA
"56","BMU",2019,NA,NA,NA,NA
"57","BOL",2000,55.9,75.6,29.6,331
"58","BOL",2019,21.5,26.3,14,NA
"59","BRA",2000,30.4,34.7,18.5,69
"60","BRA",2019,13.3,14.9,8.9,NA
"61","BRB",2000,13.7,15.1,9.3,50
"62","BRB",2019,11.7,12.6,8.4,NA
"63","BRN",2000,8.2,10.3,5,28
"64","BRN",2019,9.6,11.4,6,NA
"65","BTN",2000,57.5,77.2,31.8,423
"66","BTN",2019,23.9,28.6,15.7,NA
"67","BWA",2000,45.2,80.5,16.6,262
"68","BWA",2019,36.9,45.9,22.3,NA
"69","CAF",2000,109.9,168.9,49,1280
"70","CAF",2019,79.1,106.6,39.6,NA
"71","CAN",2000,5.3,6.2,3.8,9
"72","CAN",2019,4.4,5.1,3.3,NA
"73",NA,2000,10.35377888,12.24332141,6.5367705,20
"74",NA,2019,4.052811301,4.851054225,2.644071244,NA
"75","CHE",2000,4.7,5.6,3.5,7
"76","CHE",2019,3.6,4,2.8,NA
"77",NA,2000,NA,NA,NA,NA
"78",NA,2019,NA,NA,NA,NA
"79","CHL",2000,9.2,10.9,5.7,31
"80","CHL",2019,6,7,4.5,NA
"81","CHN",2000,29.9,36.7,21.4,59
"82","CHN",2019,5.9,7.9,3.7,NA
"83","CIV",2000,95.6,143.3,45.8,704
"84","CIV",2019,59.4,80.3,33.9,NA
"85","CMR",2000,87.6,143.9,35.6,886
"86","CMR",2019,49.9,74.7,26.8,NA
"87","COD",2000,106.5,159.3,38.4,760
"88","COD",2019,65.5,83.8,27.3,NA
"89","COG",2000,72.4,114.1,30.7,739
"90","COG",2019,35.9,52.5,19.1,NA
"91","COL",2000,21.2,25.1,13.5,94
"92","COL",2019,11.7,13.6,7.4,NA
"93","COM",2000,72.4,100.6,40.8,444
"94","COM",2019,48.7,63.5,29.8,NA
"95","CPV",2000,31.1,38.1,18.1,118
"96","CPV",2019,12.8,14.9,9,NA
"97","CRI",2000,11.1,13.1,7.7,40
"98","CRI",2019,7.2,8.2,5.8,NA
"99",NA,2000,22.62139511,26.73662748,17.35753812,112
"100",NA,2019,14.7001176,17.20832624,10.82194469,NA
"101","CUB",2000,7,8.8,4.3,46
"102","CUB",2019,4.2,5.2,2.3,NA
"103","CUW",2000,NA,NA,NA,NA
"104","CUW",2019,NA,NA,NA,NA
"105","CYM",2000,NA,NA,NA,NA
"106","CYM",2019,NA,NA,NA,NA
"107","CYP",2000,5.6,6.5,3.7,14
"108","CYP",2019,2.3,2.8,1.7,NA
"109","CZE",2000,4.5,5.5,2.7,7
"110","CZE",2019,2.4,3,1.6,NA
"111","DEU",2000,4.4,5.4,2.8,7
"112","DEU",2019,3.2,3.7,2.3,NA
"113","DJI",2000,79.9,101,43.9,507
"114","DJI",2019,48.6,57.8,31.1,NA
"115","DMA",2000,14.1,16.9,12.9,NA
"116","DMA",2019,31.2,35,29.2,NA
"117","DNK",2000,4.7,5.7,3.5,8
"118","DNK",2019,3.2,3.7,2.6,NA
"119","DOM",2000,32.4,40,23.3,80
"120","DOM",2019,28.3,34.4,23.9,NA
"121","DZA",2000,33.9,39.7,21.1,161
"122","DZA",2019,20,23.3,16.3,NA
"123",NA,2000,33.16846587,41.86286108,21.40243152,121
"124",NA,2019,11.99486019,15.02301557,7.377933505,NA
"125",NA,2000,57.75459926,78.86303352,36.48669404,326
"126",NA,2019,27.68605044,34.045433,19.66854435,NA
"127",NA,2000,31.3,39.4,20.1,114
"128",NA,2019,11.5,14.3,7.1,NA
"129",NA,2000,29.66154646,35.92609411,16.90193447,45
"130",NA,2019,9.798575221,11.34407786,5.851039162,NA
"131",NA,2000,17.5,21.2,10.2,27
"132",NA,2019,6.8,7.9,4.2,NA
"133","ECU",2000,24.7,29.5,14.1,122
"134","ECU",2019,11.6,13.4,6.8,NA
"135","EGY",2000,37.1,46.6,22.4,64
"136","EGY",2019,17.2,20.1,10.7,NA
"137",NA,2000,4.696466531,5.801598771,3.152059247,8
"138",NA,2019,3.09880315,3.724084963,2.236532944,NA
"139","ERI",2000,56.1,85.2,27,1280
"140","ERI",2019,30.5,40.6,18.1,NA
"141","ESP",2000,4.4,5.4,2.8,5
"142","ESP",2019,2.7,3.3,1.8,NA
"143","EST",2000,8.7,10.9,5.3,29
"144","EST",2019,1.8,2.3,1,NA
"145","ETH",2000,87.2,140.7,48.6,1030
"146","ETH",2019,36.6,50.8,27.8,NA
"147",NA,2000,5.884239013,7.140496279,3.877706176,10
"148",NA,2019,3.287070258,3.943376296,2.316744282,NA
"149",NA,2000,85.88232882,138.5042357,40.48758006,840
"150",NA,2019,53.13138866,77.75262979,28.67147982,NA
"151","FIN",2000,3.5,4.3,2.5,6
"152","FIN",2019,1.9,2.3,1.4,NA
"153","FJI",2000,19.1,22.4,10.1,51
"154","FJI",2019,22.6,26.9,11.4,NA
"155","FRA",2000,4.1,5.4,2.8,10
"156","FRA",2019,3.4,4.3,2.6,NA
"157","FRO",2000,NA,NA,NA,NA
"158","FRO",2019,NA,NA,NA,NA
"159","FSM",2000,30.8,37.8,20,154
"160","FSM",2019,21.5,25.4,13.3,NA
"161","GAB",2000,53.3,82.9,26.9,380
"162","GAB",2019,31.5,43,20.1,NA
"163","GBR",2000,5.6,6.5,3.8,10
"164","GBR",2019,3.7,4.3,2.8,NA
"165","GEO",2000,31.9,36.6,22.8,31
"166","GEO",2019,8.4,9.5,5.2,NA
"167","GHA",2000,64.3,99.7,35.8,484
"168","GHA",2019,34,46.4,23.5,NA
"169","GIB",2000,NA,NA,NA,NA
"170","GIB",2019,NA,NA,NA,NA
"171","GIN",2000,99.9,164.2,45.5,1020
"172","GIN",2019,63.4,98,30.3,NA
"173","GMB",2000,61.6,113.4,40.6,932
"174","GMB",2019,35.6,51.2,26.4,NA
"175","GNB",2000,105,173.8,55.3,1210
"176","GNB",2019,53,79.6,35.9,NA
"177","GNQ",2000,107.1,155.7,44.3,454
"178","GNQ",2019,60,81.2,29.2,NA
"179","GRC",2000,5.6,6.4,3.9,3
"180","GRC",2019,3.7,4.2,2.5,NA
"181","GRD",2000,12.9,15.5,8,38
"182","GRD",2019,14.7,16.5,11.1,NA
"183","GRL",2000,NA,NA,NA,NA
"184","GRL",2019,NA,NA,NA,NA
"185","GTM",2000,41,52.1,21.3,161
"186","GTM",2019,20.7,24.5,11.5,NA
"187","GUM",2000,NA,NA,NA,NA
"188","GUM",2019,NA,NA,NA,NA
"189","GUY",2000,37,46.4,27,231
"190","GUY",2019,24.5,29.3,17.9,NA
