"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"1","ABW",2000,NA,NA,NA,NA
"2","ABW",2001,NA,NA,NA,NA
"3","ABW",2002,NA,NA,NA,NA
"4","ABW",2003,NA,NA,NA,NA
"5","ABW",2004,NA,NA,NA,NA
"6","ABW",2005,NA,NA,NA,NA
"7","ABW",2006,NA,NA,NA,NA
"8","ABW",2007,NA,NA,NA,NA
"9","ABW",2008,NA,NA,NA,NA
"10","ABW",2009,NA,NA,NA,NA
"11","ABW",2010,NA,NA,NA,NA
"12","ABW",2011,NA,NA,NA,NA
"13","ABW",2012,NA,NA,NA,NA
"14","ABW",2013,NA,NA,NA,NA
"15","ABW",2014,NA,NA,NA,NA
"16","ABW",2015,NA,NA,NA,NA
"17","ABW",2016,NA,NA,NA,NA
"18","ABW",2017,NA,NA,NA,NA
"19","ABW",2018,NA,NA,NA,NA
"20","ABW",2019,NA,NA,NA,NA
"21",NA,2000,85.55713132,137.5449914,37.67115207,777
"22",NA,2001,82.53188388,132.1296314,36.86857678,751
"23",NA,2002,79.36310008,126.4633285,36.03043776,732
"24",NA,2003,76.24338583,120.8348265,35.1846309,710
"25",NA,2004,73.22076952,115.4043538,34.32607447,680
"26",NA,2005,70.28120223,110.1448593,33.50210187,643
"27",NA,2006,67.58222948,105.2067126,32.74777947,608
"28",NA,2007,64.90957431,100.2209939,31.97290805,577
"29",NA,2008,62.38313267,95.33053644,31.262069,551
"30",NA,2009,59.98633496,90.5094233,30.56522362,526
"31",NA,2010,57.79580247,86.11572214,29.88193945,501
"32",NA,2011,55.67965817,82.05748353,29.22051347,480
"33",NA,2012,53.73743013,78.25007097,28.57428522,462
"34",NA,2013,52.00407493,74.81667325,27.95688633,446
"35",NA,2014,50.41558946,71.79495789,27.348936,433
"36",NA,2015,48.95864126,69.13815746,26.7837127,419
"37",NA,2016,47.52724371,66.51592775,26.22490573,408
"38",NA,2017,46.1081401,64.24399372,25.69128825,398
"39",NA,2018,44.79522074,62.07293632,25.13165636,NA
"40",NA,2019,43.59125166,60.05415038,24.5979354,NA
"41","AFG",2000,90.5,129.2,60.9,1450
"42","AFG",2001,87.9,125.2,59.7,1390
"43","AFG",2002,85.3,121.1,58.5,1300
"44","AFG",2003,82.7,116.9,57.2,1240
"45","AFG",2004,80,112.6,55.9,1180
"46","AFG",2005,77.3,108.4,54.6,1140
"47","AFG",2006,74.6,104.1,53.2,1120
"48","AFG",2007,71.9,99.9,51.7,1090
"49","AFG",2008,69.2,95.7,50.3,1030
"50","AFG",2009,66.7,91.7,48.9,993
"51","AFG",2010,64.2,87.8,47.4,954
"52","AFG",2011,61.8,84,46,905
"53","AFG",2012,59.5,80.3,44.6,858
"54","AFG",2013,57.3,76.9,43.2,810
"55","AFG",2014,55.2,73.6,41.9,786
"56","AFG",2015,53.2,70.4,40.5,701
"57","AFG",2016,51.3,67.5,39.3,673
"58","AFG",2017,49.5,64.8,38.2,638
"59","AFG",2018,47.9,62.3,37.2,NA
"60","AFG",2019,46.4,60.1,36.1,NA
"61",NA,2000,99.16617376,169.4711147,43.95216135,1000
"62",NA,2001,96.5793404,164.3553376,42.90921397,987
"63",NA,2002,93.92350562,158.9838056,41.84866308,973
"64",NA,2003,91.2442253,153.6297794,40.86544028,954
"65",NA,2004,88.57660878,148.2783528,39.90788885,924
"66",NA,2005,86.0171123,143.1011193,39.00919165,890
"67",NA,2006,83.53945121,138.1644716,38.21358493,858
"68",NA,2007,81.17597055,133.4750447,37.51933436,834
"69",NA,2008,79.00153677,129.1176461,36.88893011,821
"70",NA,2009,77.02490628,125.0638226,36.26164215,810
